DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
04-Dec-2025,EQ,"711.80","715.55","707.25","710.65","714.95","714.65","712.79","765.30","577.85",1425940,"1,01,63,99,781.60",39244
03-Dec-2025,EQ,"717.90","719.65","708.50","717.35","709.70","710.65","712.22","765.30","577.85",1403587,"99,96,65,504.45",42073
02-Dec-2025,EQ,"720.50","724.10","713.05","718.95","715.65","717.35","717.60","765.30","577.85",2439574,"1,75,06,32,137.20",53790
01-Dec-2025,EQ,"717.70","721.35","711.05","717.40","718.50","718.95","715.85","765.30","577.85",2277267,"1,63,01,78,514.00",36801
28-Nov-2025,EQ,"727.40","728.90","715.00","727.40","716.30","717.40","719.84","765.30","577.85",1314458,"94,61,99,625.10",43594
27-Nov-2025,EQ,"736.40","738.50","720.55","734.10","727.00","727.40","727.03","765.30","577.85",1934840,"1,40,66,95,308.85",51842
26-Nov-2025,EQ,"731.05","737.50","727.40","731.35","736.60","734.10","731.44","765.30","577.85",1984835,"1,45,17,90,823.65",32736
25-Nov-2025,EQ,"735.00","736.15","728.00","735.95","728.00","731.35","732.02","765.30","577.85",968184,"70,87,26,084.40",40951
24-Nov-2025,EQ,"740.90","742.90","730.35","739.90","734.00","735.95","736.01","765.30","577.85",4028756,"2,96,51,87,356.90",54988
21-Nov-2025,EQ,"733.35","743.00","733.00","736.15","736.10","739.90","739.38","765.30","577.85",1754099,"1,29,69,40,399.20",58890
20-Nov-2025,EQ,"748.00","751.90","733.35","748.15","737.00","736.15","742.35","765.30","577.85",1605550,"1,19,18,72,466.30",36770
19-Nov-2025,EQ,"753.90","756.40","745.85","756.45","752.00","748.15","751.00","765.30","577.85",2500810,"1,87,81,02,074.30",58230
18-Nov-2025,EQ,"757.95","765.30","753.05","760.70","754.00","756.45","760.07","765.30","577.85",2300354,"1,74,84,41,318.45",57437
17-Nov-2025,EQ,"753.50","764.65","750.20","738.70","758.80","760.70","759.44","764.65","577.85",3726013,"2,82,96,66,841.40",70805
14-Nov-2025,EQ,"722.00","741.85","712.40","722.00","737.95","738.70","727.70","759.00","577.85",2572321,"1,87,18,81,475.30",50035
13-Nov-2025,EQ,"720.95","727.15","718.00","720.95","722.50","722.00","721.77","759.00","577.85",698548,"50,41,92,528.10",36879
12-Nov-2025,EQ,"713.50","725.10","706.75","713.00","719.00","720.95","716.59","759.00","577.85",2394231,"1,71,56,84,610.20",50716
11-Nov-2025,EQ,"718.45","718.45","709.70","719.25","713.00","713.00","713.51","759.00","577.85",2399280,"1,71,19,09,230.70",39814
10-Nov-2025,EQ,"713.90","720.90","710.45","711.60","720.00","719.25","718.28","759.00","577.85",337191,"24,21,96,155.35",20856
07-Nov-2025,EQ,"716.00","716.00","705.80","713.15","710.20","711.60","711.08","759.00","577.85",453081,"32,21,77,189.80",23541
06-Nov-2025,EQ,"715.00","720.50","711.20","717.30","712.65","713.15","714.49","759.00","577.85",670236,"47,88,74,000.60",28518
